Vendor Name,Address,Zip Code,DUNS Number,ProtoLEI
"LEWIS MACHINE COMPANY, THE",22 JOHN ST,061082118,001150978,000018D30YF8VQ4K8C12
"BEACON IND , INC",85 GRANBY ST,060023511,001150986,0000183S914NGDKKQO85
"BEACON IND , INC",85 GRANBY STREET,06002,001150986,000018EJJUGUHZI8WK54
"BEACON IND , INC",85 GRANBY ST,060023511,001150986,0000183S914NGDKKQO85
"BEACON INDUSTRIES, INC.",85 GRANBY ST,060023511,001150986,0000189AYZ5L9EEA8810
HORST ENGINEERING & MANUFACTURING CO.,36 CEDAR ST,061082003,001151208,0000189JZ1V2JUL4GS29
HORST ENGINEERING &amp; MANUFACTURING CO.,36 CEDAR ST,061082003,001151208,0000187CFVKPRN9YGO16
"FLANAGAN BROTHERS, INC.",911 NEW LONDON TPKE,060333077,001153766,000018CT7LI09BKIOK77
"FLANAGAN BROTHERS, INC.",81 NATIONAL DR,060331211,001153766,0000185JKZVS92SUO840
PITNEY BOWES INC.,3001 SUMMER ST,069264317,001161793,0000188KAURZ0IDVGG93
PITNEY BOWES INC.,1 ELMCROFT RD,069260700,001161793,0000186R6OZPSRHT4415
PITNEY BOWES INC.,3001 SUMMER ST,069264317,001161793,0000188KAURZ0IDVGG93
PITNEY BOWES INCORPORATED (5050),"WORLD HEADQUARTERS, 1 ELMCROFT ROAD",069260700,001161793,00001831MP7TY9YSAO96
"HILTI, INC.",7250 DALLAS PKWY STE 1000,750244998,001173525,00001870MRT28AOA0O85
"HILTI, INC.",5400 S 122ND EAST AVE,741466007,001173525,0000185UPOYJ07FXS857
KAUFMAN ENTERPRISES INC,627 CHAPEL ST 629,065116919,001175207,0000189JOER0FIYAWO95
KAUFMAN ENTERPRISES INC,627 CHAPEL ST # 629,065116992,001175207,0000186QJBHDSFQBOK49
CONNECTICUT CONTAINER CORP.,455 SACKETT POINT RD,064733116,001183748,0000182FF6GXO9708W30
CONNECTICUT CONTAINER CORPORAT,455 SACKETT POINT RD,064733116,001183748,0000187YD7SXQP2PS041
"HARCO LABORATORIES, INC.",186 CEDAR ST,064056011,001184076,000018B9N8662O2ZKG49
HARCO LLC,186 CEDAR ST,064056011,001184076,0000183K34280PDR0G79
"APPLIED BIOSYSTEMS, LLC",850 LINCOLN CENTRE DR,944041128,001184480,000018EN3S1DBFKAO088
APPLERA CORPORATION,301 MERRITT 7,068511070,001184480,0000186E4ITXZX6M0W38
"APPLIED BIOSYSTEMS, LLC",850 LINCOLN CENTRE DR,944041128,001184480,000018EN3S1DBFKAO088
"APPLIED BIOSYSTEMS, LLC",301 MERRITT 7,068511070,001184480,000018ED65IA95I4G045
"V.H. BLACKINTON & CO., INC.",221 JOHN L DIETSCH BLVD,027631031,001197789,0000188HJ2KWBCR68851
VH BLACKINTON AND COMPANY INCORPORATED,221 JOHN L DIETSCH BLVD,027631031,001197789,000018WGOJBPXXWEOC30
THE ENTWISTLE COMPANY,BIGELOW ST,017492697,001198647,000018EW02351T4G8408
THE ENTWISTLE COMPANY,BIGELOW ST,017490000,001198647,0000184NENYJIBGA8S30
"VALLEY FORGE FLAG COMPANY, INC.",875 BERKSHIRE BLVD STE 101,196101246,001210756,0000181UFM63LR4VHC29
VALLEY FORGE FLAG CO INC,1700 CONRAD WEISER PKWY,195679759,001210756,0000189WWU0RGAUC0850
EMSIG MANUFACTURING CORP.,263 WEST 38TH ST 12TH FL,10018,001211127,0000186JD5157DPVS441
EMSIG MANUFACTURING CORP.,1040 45TH AVE FL 1,111017094,001211127,000018BAYJNK2FM9CS42
COUNTY OF COFFEY,235 N MAIN ST,668398980,001213060,000018261WK7G4421S46
"COFFEY, COUNTY OF",235 N MAIN ST,668398980,001213060,0000187N6AOOJQ4S8W12
"MCGRAW-HILL COMPANIES, INC., THE",1221 AVENUE OF THE AMERICAS STE C3A,100201095,001213206,0000182IBH6YITLY8037
MC GRAW HILL COMPANIES INCORPORATED THE (6995),1221 AVENUE OF THE AMERIC C3A,100200109,001213206,0000186NPGV83NJX8G09
"ETHAN ALLEN RETAIL, INC.",ETHAN ALLEN DR,06811,001213545,0000187CPBIZP1DP8G33
"ETHAN ALLEN RETAIL, INC.",ETHAN ALLEN DR,068110000,001213545,00001854R159MMEB8C91
INTUITIVE CONTROL SYSTEMS LIMITED LIABILITY COMPANY (7906),3100 RESEARCH DR,168012751,001225114,000018D3AXBOH7WK8C09
"INTUITIVE CONTROL SYSTEMS, LLC",3100 RESEARCH DR,168012751,001225114,0000188OAFCU4BSO0044
YAHSGS LIMITED LIABILITY COMPANY,300 COLUMBIA POINT DR #H-130,993524384,001257588,000018CNJN223AFJ4G27
YAHSGS LIMITED LIABILITY COMPANY,3100 GEORGE WASHINGTON WAY STE 103,993541663,001257588,0000189X4SF5JHA40S86
"HANDY TOOL &amp; MFG. CO., INC., THE",39-09 58TH ST,113773351,001282722,0000186G8OYMOY9HWC30
HANDY TOOL AND MANUFACTURING COMPANY INCORPORATED THE,39-09 58TH ST,113773351,001282722,0000185RT641BD6NOC21
"HANDY TOOL &amp; MFG. CO., INC., THE",39-09 58TH ST,113773351,001282722,0000186G8OYMOY9HWC30
"HANDY TOOL & MFG. CO., INC., THE",39-09 58TH ST,113773351,001282722,0000189ACVSRHRTEWO92
"SCHNEIDER ELECTRIC USA, INC.",1415 SOUTH ROSELLE RD,600677337,001288364,0000181DOL5VGWUVGG04
SQUARE D COMPANY,1415 SOUTH ROSELLE RD,600677337,001288364,000018AP5RV9U5J3CO49
SPECTRUM PAINT APPLICATOR CORP,95 EVERGREEN AVE STE 4,112066159,001301589,00001833FP8K3DD9MO41
SPECTRUM PAINT APPLICATOR CORP,425 FERRY STREET 2ND FLOOR,071053903,001301589,000018645G6HYG1UW414
SPECTRUM PAINT APPLICATOR CORP,95 EVERGREEN AVE STE 4,112066159,001301589,00001833FP8K3DD9MO41
SPECTRUM PAINT APPLICATOR CORP,95 EVERGREEN AVE STE 4,112066129,001301589,0000189F41TXS9ZV8C34
HUNTINGTON INGALLS INCORPORATED,4101 WASHINGTON AVE,236072734,001307495,0000183ZLUOUH4HHMO14
NEWPORT NEWS SHIPBUILDING AND,4101 WASHINGTON AVE,236072734,001307495,0000187U7VULQHBL4O18
HUNTINGTON INGALLS INCORPORATED,4101 WASHINGTON AVE,236072734,001307495,0000183ZLUOUH4HHMO14
HUNTINGTON INGALLS INCORPORATED,4101 WASHINGTON AVE,23607,001307495,000018C5AV9TX72BK026
HUNTINGTON INGALLS INCORPORATED,4101 WASHINGTON AVE,236072734,001307495,0000183ZLUOUH4HHMO14
"NORTHROP GRUMMAN SHIPBUILDING, INC.",4101 WASHINGTON AVE BLDG 520/3,236072734,001307495,00001833V64TR2TT4W12
HUNTINGTON INGALLS INCORPORATED,4101 WASHINGTON AVE,236072734,001307495,0000183ZLUOUH4HHMO14
NEWPORT NEWS SHIPBUILDING,4101 WASHINGTON AVE,236072734,001307495,0000183T5W69SQGCKK22
HUNTINGTON INGALLS INCORPORATED,4101 WASHINGTON AVE,236072734,001307495,0000183ZLUOUH4HHMO14
NEWPORT NEWS SHIPBUILDING & DR,4101 WASHINGTON AVE,23607,001307495,0000183A6P1KGUN5Q882
HUNTINGTON INGALLS INCORPORATED,4101 WASHINGTON AVE,236072734,001307495,0000183ZLUOUH4HHMO14
NEWPORT NEWS SHIPBUILDING AND,4101 WASHINGTON AVE,23607,001307495,000018CWAG4KIZQUWW58
CNH INDUSTRIAL AMERICA LLC,700 STATE ST,534043343,001315019,000018EJMG162XS6WW11
CNH AMERICA LLC,700 STATE ST,534043343,001315019,000018CLVMUQIWW34S15
AERIAL MACHINE & TOOL CORP,4298 JEB STUART HWY,241204530,001315126,000018CCN8N1QYYBS446
AERIAL MACHINE & TOOL CORP,4298 JEB STUART HWY,241770222,001315126,0000188IFPRL8OSH4O04
AERIAL MACHINE & TOOL CORP,4298 JEB STUART HWY,241204530,001315126,000018CCN8N1QYYBS446
AERIAL MACHINE &amp; TOOL CORP,4298 JEB STUART HWY,241770222,001315126,0000182M1FOBLP0RCW19
AERIAL MACHINE & TOOL CORP,4298 JEB STUART HWY,241204530,001315126,000018CCN8N1QYYBS446
AERIAL MACHINE AND TOOL CORPORATION,4298 JEB STUART HWY,241770222,001315126,00001880PWH3NNQY8875
AERIAL MACHINE & TOOL CORP,4298 JEB STUART HWY,241204530,001315126,000018CCN8N1QYYBS446
AERIAL MACHINE & TOOL CORP,4298 JEB STUART HWY,241200000,001315126,000018ET7L9KZ0HD4O33
"DOW JONES & COMPANY, INC.",1211 AVENUE OF THE AMERICAS LOWR C3,10036,001316702,00001830UJF91Z7MIO06
"DOW JONES & COMPANY, INC.",1211 AVE OF THE AMERICAS,102811003,001316702,000018F2V84MVAXTS067
"DOW JONES & COMPANY, INC.",1211 AVENUE OF THE AMERICAS LOWR C3,10036,001316702,00001830UJF91Z7MIO06
"DOW JONES & COMPANY, INC.",200 LIBERTY ST,102811099,001316702,000018ELCLEZFJGBCC40
SCHERING CORPORATION,2000 GALLOPING HILL RD,070331310,001317601,00001897WD9FSTJVSO05
MERCK SHARP & DOHME CORP.,ONE MERCK DRIVE,088893400,001317601,0000186MOK24SSNF4839
SCHERING CORPORATION,2000 GALLOPING HILL RD,070331310,001317601,00001897WD9FSTJVSO05
MERCK SHARP &amp; DOHME CORP.,ONE MERCK DRIVE,088893400,001317601,00001813AS3HI2KI0W78
"GREATER ORLANDO, AVIATION AUTHORITY OF",1 AIRPORT BLVD,328274328,001323344,000018DWP0MHI0X9KO53
GREATER ORLANDO AVIATION AUTHORITY,ONE JEFF FUQUA BLVD,328274392,001323344,0000183XUJDTU2IC8W45
HONEYWELL INTERNATIONAL INCORPORATED (5010),101 COLUMBIA ROAD,079604658,001325240,0000187WX2OGH306GO97
HONEYWELL INTERNATIONAL INC,7900 WEST PARK DRIVE,22102,001325240,000018AA1319OLSQ0O49
HONEYWELL INTERNATIONAL INCORPORATED (5010),101 COLUMBIA ROAD,079604658,001325240,0000187WX2OGH306GO97
HONEYWELL INC.,101 COLUMBIA ROAD,079604640,001325240,000018E4Z298CU088O69
"MOTOROLA, INC",1303 EAST ALGONQUIN ROAD,601961079,001325463,000018A29EVDV0FJCO13
"MOTOROLA SOLUTIONS, INC.",1303 E ALGONQUIN RD,601961079,001325463,000018ABUY37U5KEO867
ADVANCED INTERNET MARKETING INCORPORATED,1 COLUMBUS CTR STE 600,234626722,001326094,000018991L66CJ9R0G40
"ADVANCED INTERNET MARKETING, INC.",397 LITTLE NECK RD STE 204,234525765,001326094,000018D076XOPMH88W39
PFIZER INCORPORATED (5170),235 EAST 42ND STREET,100175755,001326495,0000187OUWM6LAEVSW36
PFIZER INC.,235 E 42ND ST,100175703,001326495,000018AVG50KLEAGGS55
IDESCO CORP.,37 W 26TH ST FL 10,100101006,001350784,00001848CQA6XJ2FGG04
IDESCO CORPORATION,37 WEST 26 ST,100101097,001350784,0000186RIGSOH0HW8W98
NORTH AMERICAN PRECIS SYNDICATE INCORPORATED,350 5TH AVE STE 6500,101186500,001364140,0000182GX9Y3NAZJKS68
"NORTH AMERICAN PRECIS SYNDICATE, INC.",415 MADISON AVE 12TH FL,100177947,001364140,000018ARI9YW6NVEW408
"LINDE, INC.",575 MOUNTAIN AVE,079742097,001368141,00001885QIUQAHXI0W35
LINDE LLC,575 MOUNTAIN AVE,079742097,001368141,000018D98DP0PVUX4467
HELIQWEST INTERNATIONAL INC.,1671 64.5O RD,814016330,001376065,0000186WDDIM62BL4O60
HELIQWEST INTERNATIONAL INC.,11915 AIRPORT WAY,800212547,001376065,000018B8W6H5G815SK40
"STAR POLY BAG, INC.",200 LIBERTY AVE,112072904,001376565,0000187DIIHG44A3S407
"STAR POLY BAG, INC.",94 N 13TH ST,112111008,001376565,000018AV0V1FTL4P4436
"STAR POLY BAG, INC.",200 LIBERTY AVE,112072904,001376565,0000187DIIHG44A3S407
"STAR POLY BAG, INC.",94 N 13TH ST,112491008,001376565,000018FHBNWWBAPYGO65
UTAH COMMUNICATIONS AUTHORITY,5360 S RIDGE VILLAGE DR,841184100,001376735,000018AW6349E2FLKW49
UTAH COMMUNICATION AGENCY NETWORK,5360 S RIDGE VILLAGE DR,841184100,001376735,000018BTXPUY2USNK890
"DUCKS UNLIMITED, INC",17800 SE MILL PLAIN BLVD STE 120,986835504,001377055,0000185V9TCIPAXROC40
"DUCKS UNLIMITED, INC.",17700 SE MILL PLAIN BLVD STE 100,986837581,001377055,000018E1XL7LI8SVCO46
GLAXOSMITHKLINE HOLDINGS (AMERICAS) INC.,"1105 N MARKET ST, STE 622",198011216,001381342,000018AXHD7FEIBYO833
GLAXOSMITHKLINE HOLDINGS (AMERICAS) INC,ONE FRANKLIN PLAZA,191021204,001381342,00001870W7HYFUQ1KW64
DIAMOND CHEMICAL CO INC,UNION AVE & DUBOIS ST,070730000,001381482,0000185JCOLL8HPUSK55
DIAMOND CHEMICAL CO INC,UNION AVE & DUBOIS ST,07073,001381482,0000184JENNJUTJVS456
"DOW CHEMICAL COMPANY, THE",2030 DOW CTR,486741500,001381581,000018CC8NRNR9P60O89
THE DOW CHEMICAL COMPANY,1776 BUILDING,486741776,001381581,0000186OLDV4MU55WK81
DIAMOND ANTENNA AND MICROWAVE CORPORATION,59 PORTER RD,014601433,001405315,0000186IDZ6ZBOJHSS35
DIAMOND ANTENNA & MICROWAVE CORPORATION,59 PORTER RD,014601433,001405315,000018CX5AEXD5VZ4K79
"TELEDYNE BENTHOS, INC.",49 EDGERTON DR,025562821,001407733,00001836ULZJOIZG4K22
TELEDYNE BENTHOS INCORPORATED,49 EDGERTON DR,025562826,001407733,000018AZAPS9L4B94W30
GENERAL ELECTRIC COMPANY,1000 WESTERN AVE,01905,001408509,0000182QKRPAPIZO0047
GENERAL ELECTRIC COMPANY,1000 WESTERN AVE,019052655,001408509,0000189LVF046YUQ0443
GENERAL ELECTRIC COMPANY,1000 WESTERN AVE,01905,001408509,0000182QKRPAPIZO0047
GENERAL ELECTRIC COMPANY,1000 WESTERN AVENUE,01910,001408509,00001820QKHGT3CTUO70
RAYTHEON COMPANY,528 BOSTON POST ROAD,01776,001410539,000018BKBERFPSG8OW61
RAYTHEON COMPANY,528 BOSTON POST RD,017763349,001410539,0000184XO0ITDV1LS089
RAYTHEON COMPANY,6380 HOLLISTER AVE,93117,001425206,000018DHCK3E9VTGGG63
RAYTHEON COMPANY INC,6380 HOLLISTER AVE,93117,001425206,000018AN8HJHR3NI8038
RAYTHEON COMPANY,6380 HOLLISTER AVE,93117,001425206,000018DHCK3E9VTGGG63
RAYTHEON COMPANY,6380 HOLLISTER AVE,931173114,001425206,0000184ILCWLI5C9CS06
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,77 MASSACHUSETTS AVE,021394301,001425594,00001850NO8X0JUDGK11
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (3594),77 MASSACHUSETTS AVE,021394301,001425594,0000188BKW6HFSPQWW56
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,77 MASSACHUSETTS AVE,021394301,001425594,00001850NO8X0JUDGK11
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (3594),77 MASSACHUSETTS AVE,021394307,001425594,000018BVJV6DX97WW855
W. D. MATTHEWS MACHINERY CO.,901 CENTER ST,042106456,001428200,000018CWBLRJPVWSW811
"MATTHEWS, W D MACHINERY CO",901 CENTER ST,042106456,001428200,000018DXWD5F87MK8W18
"WRIGHT LINE, LLC",160 GOLD STAR BLVD,01606,001438084,000018735ZR2QCITKO06
"WRIGHT LINE, LLC",160 GOLD STAR BLVD,016062709,001438084,0000185IS6AJH4DECC03
CONSIGLI CONSTRUCTION CO INC.,72 SUMNER ST,017571663,001441724,0000186HEH86T4LISC52
"CONSIGLI CONSTRUCTION CO., INC.",72 SUMNER ST,017571663,001441724,0000187VB4GFAUI0OW71
WHITCRAFT LLC,76 COUNTY RD,062420000,001443399,000018DT8TY9CHAK0S02
WHITCRAFT LLC,76 COUNTY RD,06242,001443399,0000185GU7SAMOIBGG21
UNITED TECHNOLOGIES CORPORATION,400 MAIN ST,061080968,001447952,000018AYP3WWAKGS0S11
UNITED TECHNOLOGIES CORPORATION,400 MAIN ST,061181873,001447952,0000187DWU19QR1LS010
UNITED TECHNOLOGIES CORPORATION,400 MAIN ST,061080968,001447952,000018AYP3WWAKGS0S11
UNITED TECHNOLOGIES CORPORATIO,17900 BEELINE HWY,33478,001447952,0000183AY32YN8GCSG58
UNITED TECHNOLOGIES CORPORATION,400 MAIN ST,061080968,001447952,000018AYP3WWAKGS0S11
UNITED TECHNOLOGIES CORPORATIO,400 MAIN ST,06108,001447952,000018CA4I99CH65CK02
UNITED TECHNOLOGIES CORPORATION,400 MAIN ST,061080968,001447952,000018AYP3WWAKGS0S11
PRATT & WHITNEY,400 MAIN STREET,06108,001447952,000018B8VPPT7GEE0C47
UNITED TECHNOLOGIES CORPORATION,400 MAIN ST,061080968,001447952,000018AYP3WWAKGS0S11
UNITED TECHNOLOGIES CORPORATION (0975),400 MAIN ST,061080968,001447952,0000183DA2XHBIOICC25
MICROPHASE CORPORATION,587 CONNECTICUT AVE,068541711,001449354,000018CBH6I5QFBXCK59
MICROPHASE CORPORATION,100 TRAP FALLS ROAD EXT STE 400,064844655,001449354,000018112HKBD33BRK98
HOFFMAN ENGINEERING LLC,8 RIVERBEND DRIVE,069072629,001452580,000018451KLPZDGK8W68
HOFFMAN ENGINEERING CORPORATION,8 RIVERBEND DRIVE,069072623,001452580,00001854KJKV79LGW859
"REMINGTON ARMS COMPANY, INC.",870 REMINGTON DR,270250000,001453216,00001851169ZB1TVCW81
REMINGTON ARMS COMPANY INC,870 REMINGTON DR,27025,001453216,000018480JF1AARGU809
"REMINGTON ARMS COMPANY, INC.",870 REMINGTON DR,270250000,001453216,00001851169ZB1TVCW81
"REMINGTON ARMS COMPANY, LLC",870 REMINGTON DR,270250000,001453216,000018SHUYDJG26DSC53
"REMINGTON ARMS COMPANY, INC.",870 REMINGTON DR,270250000,001453216,00001851169ZB1TVCW81
"REMINGTON ARMS COMPANY, INC.",870 REMINGTON DR,270250700,001453216,00001813KXGSSJRSZK63
"REMINGTON ARMS COMPANY, INC.",870 REMINGTON DR,270250000,001453216,00001851169ZB1TVCW81
"REMINGTON ARMS COMPANY, LLC",870 REMINGTON DR,270250700,001453216,0000184RAL9DFW918G81
SLICKBAR PRODUCTS CORP,155 HILL ST STE 1,064603192,001454560,0000186KSN9ZN9M3GG28
LAMOR USA CORPORATION,18 BEACH ST,064833702,001454560,0000187723IKOIGUSC72
SLICKBAR PRODUCTS CORP,155 HILL ST STE 1,064603192,001454560,0000186KSN9ZN9M3GG28
LAMOR USA CORPORATION,155 HILL ST STE 1,064603192,001454560,000018403O6GYC018G89
"OMEGA ENGINEERING, INC.",1 OMEGA DR,069072336,001455856,000018ABPQ69QXPO0S27
"OMEGA ENGINEERING, INC.",1 OMEGA DR,069072390,001455856,00001891JHEM61HZK835
RAYTHEON COMPANY,1847 W MAIN RD,028711087,001463090,000018YGJEUDP66C0865
RAYTHEON COMPANY,1847 W MAIN RD,02871,001463090,00001819G43G5U509S98
"LEE, NORMAN REAL ESTATE APPRAISAL",970 S SHOSHONE LOOP,598409031,001464564,0000181S0A385BAOHS95
"LEE, NORMAN REAL ESTATE APPRAISAL",3716 MT HWY 83 N,598688606,001464564,0000182HY0IYPRRCGS19
"ATKINS NORTH AMERICA, INC.",4030 WEST BOY SCOUT BLVD STE 700,336075713,001488055,000018936A8L1GAA8849
"ATKINS NORTH AMERICA, INC.",4030 WEST BOY SCOUT BLVD,336071784,001488055,0000181N0HNXMF0G8012
"MAGELLAN AEROSPACE, NEW YORK, INC.",97-11 50TH AVE,113682740,001502335,0000186TATKGUAVTOG84
ELLANEF MANUFACTURING CORPORATION,97-11 50TH AVE,113682740,001502335,000018BDKWBLJXORSO12
SCHOLASTIC INC.,557 BROADWAY LBBY 1,100123958,001503580,0000188LI4PM4D6KKK06
SCHOLASTIC INC,557 BROADWAY 2ND FLR,100123999,001503580,000018B24BG8XRDZK878
"JOHN WILEY & SONS, INC.",111 RIVER ST,070305790,001519248,000018CBFNM1Z04VKS53
JOHN WILEY AND SONS INCORPORATED,111 RIVER ST STE 2000,070305790,001519248,000018AS88OETGVNCW28
OTIS ELEVATOR COMPANY,10 FARM SPRINGS RD,060322561,001534676,0000188HTIMPEWYJOK29
OTIS ELEVATOR COMPANY,10 FARM SPRINGS ROAD,060322577,001534676,000018TABOSWALJDSK11
KINGFORM CAP COMPANY INCORPORATED,184-08 JAMAICA AVE,114230329,001537190,0000186JT7P458TFS482
KINGFORM CAP CO INC,121 NEW SOUTH RD,118015230,001537190,000018AC989D8E98O474
JOPLIN BEEPERS INC,HWY 37 C,657340000,001555010,00001834Z15AF0ZDKW88
JOPLIN BEEPERS INC,HWY 37 C,657347589,001555010,000018B395WIPY8DSS73
"DERECKTOR, ROBERT E INC",311 EAST BOSTON POST RD,105433738,001562032,000018D2YUMSPAWVKS32
